price,address,sqft_living,latitude,longitude,bedrooms,bathrooms,balcony,car_garage,type_of_building,price_sqft
4200000,"Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",1040,28.616204,77.422256,2,2,2,1,Flat,4038
82000000,"Golf Course Road, Gurgaon, Golf Course Road, Gurgaon, Delhi NCR",5495,28.4361825275276,77.1043058418003,5,6,2,3,Flat,14922
9000000,"panchwati appartments, Vikaspuri, New Delhi - West, Delhi NCR",1250,28.6401587513384,77.066265900795,2,2,2,,Individual House,7200
14000000,"B-31/S-1, B- Block, Dilshad Garden, Shahdara, Delhi-110095, Dilshad Garden, New Delhi - East, Delhi NCR",2500,28.68651580810547,77.29942321777344,3,2,1,2,Flat,5600
8900000,"Sector 37D, Gurgaon, Delhi NCR",1815,28.45251307,76.97627035,3,3,,,Flat,4903
3200000,"Raj Nagar Extension, Ghaziabad, Delhi NCR",1041,28.701837981083,77.423206716491,2,2,3,,Flat,3073
15000000,"S Block, Sector 49, Gurgaon, Delhi NCR",2000,28.412109,77.049522,4,4,3,2,Flat,7500
9200000,"Sector-82, Mapsko Casa Bella, Sector 82, Gurgaon, Delhi NCR",1960,28.393665,76.962842,3,3,3,123,Individual House,4693
11500000,"sector 84, Sihi, Gurgaon, Delhi NCR",1963,28.406752,76.96474017,3,3,3,2,Flat,5858
6000000,"Sector 119, Noida -201301, Sector 119, Noida, Delhi NCR",1246,28.5863287948209,77.4010620206905,2,2,3,1,Individual House,4815
3900000,"omicran near Parichowk supertech Czar, Omicron, Greater Noida, Delhi NCR",1085,28.473679,77.506258,2,2,3,,Flat,3594
3600000,"Ajanra le Garden, sector 16, greater noida, dist. Gautam budh nagar. U.P., Greater Noida West, Greater Noida, Delhi NCR",995,28.606945,77.455578568448,2,2,3,,Individual House,3618
49000000,"Sector 27, Greater Noida, Noida, Uttar Pradesh, Sector 27, Greater Noida, Delhi NCR",6168,28.470149,77.535673,5,5,3,3,Flat,7944
7500000,"Sector 77, Gurgaon, Delhi NCR",1260,28.3824895,76.9823169,2,2,,1,Individual House,5952
18000000,"Eastend Aptts, Mayur Vihar 1, New Delhi - East, Delhi NCR",1700,28.5884566,77.304787,4,3,1,1,Individual House,10588
17200000,"Sector 10 Dwarka, New Delhi - Dwarka, Delhi NCR",2025,28.5858422747995,77.0606247868441,3,2,4,2,Flat,8493
17000000,"Moti Nagar, New Delhi - West, Delhi NCR",1600,28.66662979125977,77.1522216796875,3,2,2,2,Flat,10625
5500000,"sector 12 gurgaon, Sector 12, Gurgaon, Delhi NCR",1150,28.497455596923828,77.02713775634766,3,2,1,1,Flat,4782
13000000,"Kumar Excellency plaza, Sector 11 Vasundhara, Ghaziabad, Delhi NCR",2300,28.655845642089844,77.36822509765625,4,4,3,,Flat,5652
9900000,"Sector 90, Gurugram, Haryana 122505, Sector 90, Gurgaon, Delhi NCR",1760,28.407361,76.93426176,3,2,4,1,Flat,5625
7000000,"Sanjiv Malhotra D-2, 208/209, Ground Floor Sector-11, Rohin, New Delhi- 110085, Sector 11 Rohini, New Delhi - Rohini, Delhi NCR",559,28.7295315,77.106949,2,2,,,Individual House,12522
5150000,"Sector 143, Noida, Sector 143, Noida, Delhi NCR",1234,28.500621,77.424203,2,2,2,,Flat,4173
7500000,"Paschim Vihar, New Delhi, Paschim Vihar, New Delhi - West, Delhi NCR",700,28.6628739905415,77.0977670161547,2,2,,1,Flat,10714
2630000,"415  81High street mall sector 81 not pull greater Faridabad, Sector 81, Faridabad, Delhi NCR",750,28.39244079589844,77.34424591064453,3,2,2,,Flat,3506
4600000,"Uttam Nagar West, New Delhi - West, Delhi NCR",1000,28.618239,77.054361,3,2,,1,Flat,4600
7500000,"G Tower, Amrapali Sapphire Phase I, Sector 45, Noida, Delhi NCR",1390,28.548787,77.346032,3,2,3,1,Flat,5395
7000000,"Sector 69, Gurgaon, Sector 69, Gurgaon, Delhi NCR",1326,28.397731,77.036526,3,3,3,1,Flat,5279
5800000,"Sector 129, Noida, Delhi NCR",1270,28.524543,77.364765,3,3,,,Flat,4566
5200000,"Sector 143, Noida, Delhi NCR",1175,28.500621,77.424203,2,2,,,Individual House,4425
26000000,"Sector 128 Noida, Sector 128, Noida, Delhi NCR",3755,28.5279804259531,77.354191,4,6,2,2,Flat,6924
20000000,"DLF Capital Greens Phase 1, Moti Nagar, New Delhi - West, Delhi NCR",1650,28.666059,77.150134,3,3,4,1,Flat,12121
3200000,"895., Mehrauli, New Delhi - South, Delhi NCR",800,28.5201861,77.179158,2,2,1,,Flat,4000
8500000,"Near Dashmesh Hospital, Jail Road, Shiv Nagar, New Delhi - West, Delhi NCR",1100,28.6288025,77.0958556,2,2,,1,Flat,7727
4320000,"Sector 67, Gurgaon, Delhi NCR",800,28.38762,77.06237,2,2,,,Flat,5400
